lval,op,rval,Estimate,Std. Err,z-value,p-value
panasneg_lag,~,panaspos_lag,-0.2786855401187525,0.06989245308198483,-3.9873481016307024,6.681595573843069e-05
panasneg_lag,~,pomsah_lag,0.49778196594237767,0.06989245308198481,7.12211324663838,1.0629275237761249e-12
panaspos,~,panaspos_lag,0.25922369713451293,0.08282335811650286,3.1298380435957207,0.0017490270344342473
pomsah,~,pomsah_lag,0.5038006251353729,0.07407505911033152,6.801217996710377,1.0373923942097463e-11
panasneg,~,panasneg_lag,0.31228230249352273,0.06784361247740035,4.602972794129223,4.165026540325911e-06
panasneg,~,panaspos,-0.27362540857907486,0.06557260140266521,-4.172861877091556,3.0079730790388837e-05
panasneg,~,pomsah,0.3833922477816712,0.06764039728350547,5.668095741204282,1.4439327955528825e-08
panaspos,~~,panaspos,0.9329203763584495,0.11313321329461376,8.246211251162432,2.220446049250313e-16
panasneg_lag,~~,panasneg_lag,0.663237749784832,0.08042939109587764,8.24621125113279,2.220446049250313e-16
pomsah,~~,pomsah,0.7462475559790792,0.09049580871061093,8.246211251144198,2.220446049250313e-16
panasneg,~~,panasneg,0.5811896910220151,0.07047960248834886,8.246211251118316,2.220446049250313e-16
